"X","Y"
261387.13936744,602944.74933786
261393.9147999,602910.65961631
261407.4407264,602903.11184797
261452.6240264,602874.55024797
261495.79692577,602845.66334709
261506.1008082,602838.37461961
261517.29093147,602835.74033307
261516.22512371,602831.21291361
261524.0327017,602825.69001401
261533.79572344,602820.76470146
261540.74534817,602817.11088512
261695.54932831,602786.34172943
262019.82117564,602569.88113012
262044.81867564,602544.91373012
262045.67560137,602544.05679835
262070.18433204,602519.5181754
262094.68285969,602495.05884932
262096.07451188,602493.66668628
262106.21051188,602483.50698628
262333.29759991,602131.82375308
262348.57629991,602091.53615308
262354.12989544,602076.53120951
262367.51609544,602039.45530951
262376.14400252,602013.96208606
262380.06027454,602007.31201999
262379.95970925,602007.25279636
262402.83643659,601968.63554132
262414.75179986,601946.86603773
262417.33174067,601942.23290348
262417.71418526,601941.56727042
262461.74509328,601855.56338764
262472.64577975,601831.4679163
262476.26117182,601823.74285007
262481.25705584,601812.8999432
262486.35555584,601801.6582432
262515.41795056,601730.41115956
262523.25935056,601708.85085956
262524.65756491,601704.98164272
262530.83306491,601687.78184272
262531.55242623,601685.77155595
262539.31272623,601664.01185595
262545.09216086,601647.34317153
262548.30956086,601637.79237153
262568.48176751,601570.09678756
262570.40464378,601562.69844592
262571.31705618,601559.39636578
262577.71411798,601535.05591055
262582.25351798,601516.85511055
262588.11373681,601490.73843115
262589.59530579,601484.603265
262590.40098521,601480.54506893
262592.62606216,601470.62878033
262594.89306216,601459.27278033
262594.63445227,601459.221154
262605.54646665,601404.25748869
262608.68486665,601384.17408869
262620.27593682,601258.0490353
262621.00223682,601232.3673353
262593.68319305,600970.28358489
262590.99989305,600959.12548489
262582.30044792,600925.52612076
262579.88074792,600916.80712076
262539.61639468,600800.1831966
262535.72289468,600790.8222966
262420.68185081,600586.05662485
262415.73235081,600579.26222485
262357.29347206,600506.44344183
262350.47817206,600498.71944183
262266.26100937,600427.16018778
262278.99314497,600396.4566945
262308.9364804,600169.23828824
262316.04144484,600134.20118543
262387.32880409,599997.28199898
262418.75816885,599802.8099007
262473.34518914,599621.53632337
262461.30926807,599294.01639547
262344.02911115,598987.97794796
262307.05551115,598924.95664796
262235.66026575,598819.32549248
262230.92456575,598813.20029248
262198.0814425,598772.92821735
262191.5168425,598765.29271735
262177.11005091,598750.26030918
262234.57006792,598687.60981719
262366.33776911,598384.8652493
262388.26895083,598107.19586626
262394.23588411,598096.73629466
262404.45287608,598078.38141688
262418.76947608,598052.01361688
262433.9470468,598022.93253665
262436.62734391,598017.58488769
262450.04009503,597993.05253737
262547.74648604,597728.65550387
262561.31852864,597708.31727261
262653.89216509,597587.84099943
262669.62287566,597549.90688385
262678.88889506,597537.84805852
262694.59534837,597499.97243922
262703.82946577,597487.9592755
262706.01368745,597482.69358151
262778.83173595,597387.95991652
262812.76834675,597306.14619417
262887.16701194,597194.65643223
262887.83994616,597191.26997699
262928.89149665,597137.84525576
262944.65448057,597099.83342161
262953.95762181,597087.72197648
262969.61859198,597049.94502545
262978.83003383,597037.96132018
262983.18549108,597027.46120928
263128.88929771,596837.84105392
263144.58676459,596799.98731827
263153.83073143,596787.96132433
263169.60589645,596749.93054178
263178.89399774,596737.84295388
263253.82079286,596557.15984612
263262.16514656,596544.65548206
263265.07175399,596530.0285826
263278.99483609,596496.45360131
263285.49052224,596447.16416524
263287.16198308,596444.65942731
263363.13299987,596062.35302744
263363.13339987,596037.39582744
263363.13330003,596012.33891652
263363.13369987,595987.3918275
263363.13350005,595962.340814
263363.13379993,595937.38361577
263363.13370004,595912.34261968
263363.1341998,595887.39763446
263363.13390012,595862.33452755
263363.1343998,595837.39343438
263363.13420008,595812.34242231
263363.1346998,595787.3992343
263287.20835409,595405.16475521
263212.79696196,595293.61889847
263178.90117937,595211.87931793
263169.62360162,595199.80507706
263165.3727953,595189.55412991
263163.13184078,595172.54532428
263163.13180004,595162.34012086
263163.1322998,595137.39523454
263163.13210008,595112.34421889
263163.1325998,595087.39112636
263142.55940412,594983.84613762
263203.8512247,594876.57137965
263219.89720274,594784.76340261
263443.51251505,594969.37928649
263748.65214444,595085.05707336
264074.78767383,595096.33360983
264387.18842719,595002.00804013
264652.58636602,594812.12523978
264669.91426602,594794.81363978
264670.95321862,594793.77413788
264695.95001862,594768.72733788
264912.20462908,594444.5566528
264915.74047286,594426.75865097
264937.16366663,594394.65520032
264940.7024244,594376.84718124
264962.13301326,594344.74297496
264979.84637147,594255.6274774
264987.16721769,594244.65697717
265001.30805585,594173.49762992
265053.99296252,594046.4503484
265070.14390624,593923.89688272
265101.05102425,593918.19651806
265160.99802425,593904.00731806
265231.34373632,593884.62105621
265279.60173632,593869.40695621
265369.89933827,593836.08236671
265440.95983827,593805.89676671
